P,M,maxD1,maxD2,Time
16,1048576,99936.000000,1416360.081584,0.741195
16,1048576,99936.000000,1416360.081584,0.762168
16,1048576,99936.000000,1416360.081584,0.710830
16,1048576,99936.000000,1416360.081584,0.713230
16,1048576,99936.000000,1416360.081584,0.703852
16,262144,99936.000000,1416360.081584,0.326660
16,262144,99936.000000,1416360.081584,0.361351
16,262144,99936.000000,1416360.081584,0.325713
16,262144,99936.000000,1416360.081584,0.351645
16,262144,99936.000000,1416360.081584,0.437438
32,1048576,99936.000000,1416360.081587,1.039432
32,1048576,99936.000000,1416360.081587,1.093999
32,1048576,99936.000000,1416360.081587,1.068608
32,1048576,99936.000000,1416360.081587,1.084521
32,1048576,99936.000000,1416360.081587,1.088823
32,262144,99936.000000,1416360.081587,0.674529
32,262144,99936.000000,1416360.081587,0.743591
32,262144,99936.000000,1416360.081587,0.771179
32,262144,99936.000000,1416360.081587,0.766847
32,262144,99936.000000,1416360.081587,0.770280
8,1048576,99936.000000,1416360.081579,0.373688
8,1048576,99936.000000,1416360.081579,0.372212
8,1048576,99936.000000,1416360.081579,0.365600
8,1048576,99936.000000,1416360.081579,0.365163
8,1048576,99936.000000,1416360.081579,0.365591
8,262144,99936.000000,1416360.081579,0.089136
8,262144,99936.000000,1416360.081579,0.089043
8,262144,99936.000000,1416360.081579,0.088897
8,262144,99936.000000,1416360.081579,0.090745
8,262144,99936.000000,1416360.081579,0.094621
